Bus ID,Time ID,Location,Arrive,Depart,stop time,travel time,Special circumstance?
S1,1,Martin,10:07:13,10:08:13,0:01:00,,
S1,1,Lot 6,10:08:57,10:09:05,0:00:08,0:00:44,
S1,1,Lot 5A,10:09:53,10:10:26,0:00:33,0:00:48,
S1,1,East Deck,10:10:52,10:10:57,0:00:05,0:00:26,
S1,1,Fret N,10:12:07,10:12:30,0:00:23,0:01:10,
S1,1,Klien,10:12:56,10:13:17,0:00:21,0:00:26,
S1,1,Stun W,10:13:45,10:18:30,0:04:45,0:00:28,
S1,1,Athletics W,10:20:23,10:20:23,0:00:00,0:01:53,
S1,1,EPIC N,10:20:51,10:21:13,0:00:22,0:00:28,
S1,1,Grigg,10:21:40,10:21:40,0:00:00,0:00:27,
S1,1,BATT,10:22:21,10:22:30,0:00:09,0:00:41,
S1,1,Portal W,10:23:18,10:23:26,0:00:08,0:00:48,
S1,1,CRI,10:24:20,,,0:00:54,
S1,,AVG,,,0:00:39,0:00:45,
,,,,,,,
S2,1,Fret N,10:07:00,10:07:26,0:00:26,,
S2,1,Klien,10:07:58,10:08:16,0:00:18,0:00:32,
S2,1,Stun W,10:08:59,10:11:11,0:02:12,0:00:43,
S2,1,Athletics W,10:13:38,10:13:38,0:00:00,0:02:27,
S2,1,EPIC N,10:14:12,10:14:41,0:00:29,0:00:34,
S2,1,Grigg,10:15:08,10:15:24,0:00:16,0:00:27,
S2,1,BATT,10:16:05,10:16:26,0:00:21,0:00:41,
S2,1,Portal W,10:17:27,10:17:27,0:00:00,0:01:01,
S2,1,CRI,10:18:23,10:18:39,0:00:16,0:00:56,
S2,1,Duke,10:21:12,10:21:49,0:00:37,0:02:33,
S2,1,EPIC S,10:23:04,10:23:18,0:00:14,0:01:15,
S2,1,Athletics E,10:24:14,10:24:14,0:00:00,0:00:56,
S2,1,Stun E,10:25:52,10:26:27,0:00:35,0:01:38,
S2,,AVG,,,0:00:26,0:01:09,
,,,,,,,
S3,1,EPIC S,10:08:36,10:09:18,0:00:42,,
S3,1,Athletics E,10:10:08,10:10:15,0:00:07,0:00:50,
S3,1,Stun E,10:12:13,10:12:56,0:00:43,0:01:58,
S3,1,Aux,10:13:36,10:13:59,0:00:23,0:00:40,
S3,1,Stu Health,10:15:14,10:15:22,0:00:08,0:01:15,
S3,1,Martin,10:16:12,10:16:59,0:00:47,0:00:50,
S3,1,Lot 6,10:17:35,10:18:11,0:00:36,0:00:36,
S3,1,Lot 5A,10:18:58,10:19:14,0:00:16,0:00:47,
S3,1,East Deck,10:19:42,10:19:42,0:00:00,0:00:28,
S3,1,Fret N,10:21:27,10:21:47,0:00:20,0:01:45,
S3,1,Klien,10:22:23,10:22:37,0:00:14,0:00:36,
S3,1,Stun W,10:23:11,10:25:25,0:02:14,0:00:34,
S3,,AVG,,,0:00:32,0:00:56,
,,,,,,,
S4,1,BATT,10:06:38,10:06:40,0:00:02,,
S4,1,Portal W,10:07:41,10:08:01,0:00:20,0:01:01,
S4,1,CRI,10:08:56,10:13:24,0:04:28,0:00:55,
S4,1,Duke,10:14:45,10:15:09,0:00:24,0:01:21,
S4,1,EPIC S,10:16:31,10:16:47,0:00:16,0:01:22,
S4,1,Athletics E,10:17:28,10:17:29,0:00:01,0:00:41,
S4,1,Stun E,10:19:41,10:20:46,0:01:05,0:02:12,
S4,1,Aux,10:21:12,10:21:41,0:00:29,0:00:26,
S4,1,Stu Health,10:22:45,10:22:46,0:00:01,0:01:04,
